"State","FIPS","Total","NonHispanic","WhiteNonHispanic","BlackNonHispanic","IndianNonHispanic","AsianNonHispanic","HawaiianNonHispanic","OtherNonHispanic","TwoOrMoreNonHispanic","Hispanic","WhiteHispanic","BlackHispanic","IndianHispanic","AsianHispanic","HawaiianHispanic","OtherHispanic","TwoOrMoreHispanic","state","fips","WhiteTotal","BlackTotal","IndianTotal","AsianTotal","HawaiianTotal","OtherTotal","TwoOrMoreTotal","WhiteHispanicPerc","WhiteNonHispanicPerc","BlackHispanicPerc","BlackNonHispanicPerc","IndianHispanicPerc","IndianNonHispanicPerc","AsianHispanicPerc","AsianNonHispanicPerc","HawaiianHispanicPerc","HawaiianNonHispanicPerc","OtherHispanicPerc","OtherNonHispanicPerc","TwoOrMoreHispanicPerc","TwoOrMoreNonHispanicPerc","WhiteTotalPerc","BlackTotalPerc","IndianTotalPerc","AsianTotalPerc","HawaiianTotalPerc","OtherTotalPerc","TwoOrMoreTotalPerc"
"Alabama",1,4893186,4680235,3192147,1292950,21297,67317,1887,104637,94858,212951,110687,8369,3467,592,155,89681,24464,"Alabama",1,3302834,1301319,24764,67909,2042,194318,119322,0.022620640212736652,0.6523657592415248,0.0017103376000830544,0.2642347950803423,0.0007085363196902795,0.004352379002147067,0.00012098456915392139,0.013757294327254267,0.00003167670307239496,0.00038563831417812443,0.01832773166603518,0.02138422696378188,0.004999605573955292,0.019385733548653167,0.6749863994542615,0.26594513268042536,0.005060915321837347,0.013878278896408188,0.0004173150172505194,0.03971195862981705,0.024385339122608457
"Alaska",2,736990,683931,439979,22720,103843,45855,10306,61228,58275,53059,26982,1174,3455,1434,179,19835,10557,"Alaska",2,466961,23894,107298,47289,10485,81063,68832,0.03661108020461607,0.5969945318118292,0.0015929659832562178,0.03082809807460074,0.004687987625340914,0.14090150476939986,0.0019457523168564025,0.06221929741244793,0.0002428798219785886,0.013983907515705777,0.02691352664215254,0.08307846782181577,0.014324482014681339,0.07907162919442598,0.6336056120164453,0.032421064057856955,0.14558949239474078,0.06416504972930433,0.014226787337684366,0.1099919944639683,0.09339611120910732
"Arizona",4,7174064,4913374,3883722,305973,272294,233048,13323,205014,187561,2260690,1408776,19132,38720,6142,1310,786610,312036,"Arizona",4,5292498,325105,311014,239190,14633,991624,499597,0.1963707042479688,0.5413559176500238,0.002666828731943289,0.0426498843612212,0.005397219762745356,0.03795533466107913,0.0008561395605057329,0.03248479522903615,0.00018260221821271737,0.0018571063765252165,0.10964635944145466,0.028577107759283998,0.04349501203223166,0.02614431652686678,0.7377266218979925,0.045316713093164485,0.043352554423824484,0.03334093478954188,0.0020397085947379337,0.13822346720073864,0.06963932855909843
"Arkansas",5,3011873,2782244,2155099,455485,15912,45389,10258,100101,93127,229629,114860,2355,3234,741,197,108242,26853,"Arkansas",5,2269959,457840,19146,46130,10455,208343,119980,0.038135738127072424,0.715534486347864,0.000781905478750266,0.15122981613102546,0.0010737504536213844,0.005283091285721543,0.0002460263098742875,0.015070024532906932,0.00006540780437953393,0.003405854098097762,0.03593843432309397,0.03323546510759252,0.00891571457362246,0.030919962428694703,0.7536702244749364,0.15201172160977572,0.006356841739342927,0.01531605084278122,0.003471261902477296,0.06917389943068648,0.03983567700231716
"California",6,39346023,23965094,14365145,2142371,131724,5743983,135524,1446347,1322199,15380929,7688576,108591,179905,90329,14112,7299416,1799817,"California",6,22053721,2250962,311629,5834312,149636,8745763,3122016,0.19540922852609524,0.3650977635020444,0.0027598977411262124,0.05444949290046417,0.004572380796910529,0.0033478351801908925,0.0022957593452329348,0.1459863681775411,0.0003586639493399371,0.0034444141914927464,0.18551852114761383,0.03675967454194799,0.04574330168007069,0.033604387411657846,0.5605069920281397,0.057209390641590384,0.007920215977101422,0.14828212752277403,0.0038030781408326837,0.22227819568956184,0.07934768909172854
"Colorado",8,5684926,4453800,3837450,224190,29337,178265,7794,176764,164556,1231126,796855,11502,24334,3468,1089,393878,172673,"Colorado",8,4634305,235692,53671,181733,8883,570642,337229,0.14016981047774413,0.6750219791779172,0.0020232453333605396,0.03943586952583024,0.0042804427005734115,0.005160489336184851,0.0006100343258645758,0.03135748820653075,0.0001915592217031497,0.0013709940991316334,0.06928463096969072,0.031093456625468828,0.030373834241641844,0.028946023220003215,0.8151917896556613,0.04145911485919078,0.009440932036758262,0.03196752253239532,0.0015625533208347832,0.10037808759515954,0.05931985746164506
"Connecticut",9,3570549,2983337,2357942,352036,4882,161787,742,105948,93146,587212,292052,30125,4197,1475,447,258916,79501,"Connecticut",9,2649994,382161,9079,163262,1189,364864,172647,0.08179470439979958,0.6603863999625827,0.008437077883541158,0.09859436181942889,0.0011754494897003233,0.0013672967378405953,0.0004131017386962061,0.04531151932097837,0.00012519083199810448,0.00020781117973734571,0.07251433883136739,0.02967274780432925,0.02226576361226243,0.02608730478142157,0.7421811043623823,0.10703143970297005,0.0025427462275409186,0.04572462105967458,0.00033300201173545017,0.10218708663569664,0.048353068393684
"Delaware",10,967679,876329,595236,208126,2836,38249,290,31592,28088,91350,57351,4669,724,279,415,27912,9479,"Delaware",10,652587,212795,3560,38528,705,59504,37567,0.05926655430158141,0.6151172031221097,0.004824947115727426,0.2150775205414192,0.0007481819901020896,0.0029307239280794563,0.0002883187503293964,0.0395265372091365,0.000428861223608242,0.00029968615625636187,0.028844275839405423,0.03264718982224477,0.009795603707427773,0.02902615433423687,0.6743837574236912,0.21990246765714663,0.003678905918181546,0.0398148559594659,0.0007285473798646039,0.061491465661650195,0.03882175804166464
"District of Columbia",11,701974,623993,257792,312661,1298,28347,283,23612,20047,77981,30514,5970,1140,415,45,39897,9698,"District of Columbia",11,288306,318631,2438,28762,328,63509,29745,0.04346884642451145,0.36723867265739185,0.008504588489032357,0.44540253627627235,0.001623991771775023,0.0018490713331262981,0.0005911899870935391,0.04038183750395314,0.00006410493835954039,0.0004031488345722206,0.0568354383495685,0.033636573434343724,0.013815326493573836,0.028558037762082357,0.4107075190819033,0.4539071247653047,0.0034730631049013213,0.04097302749104668,0.000467253772931761,0.09047201178391223,0.042373364255656194
"Florida",12,21216924,15748098,11331222,3231108,39070,579476,10889,556333,465441,5468826,3868366,149953,16585,11192,2450,1420280,811576,"Florida",12,15199588,3381061,55655,590668,13339,1976613,1277017,0.18232454431188988,0.5340652584700779,0.007067612628484695,0.15228918197567187,0.0007816872983095948,0.0018414544917067148,0.0005275034213253533,0.02731197038741337,0.00011547385473973512,0.0005132223690861126,0.06694090057540858,0.026221190215886148,0.03825135066704297,0.0219372516015988,0.7163898027819677,0.15935679460415655,0.0026231417900163096,0.027839473808738722,0.0006286962238258477,0.09316209079129473,0.06018860226864177
